step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
4400,955.548,61.891701,53.4963,0.493835,0.020588,7.164524,7.164524,7.164524,7.164524,29.05274,36.513206,0.01445,0.000582,155.485367
4425,961.022,57.787659,49.464073,0.459352,0.020499,7.130667,7.130667,7.130667,7.130667,29.153172,36.439522,0.011434,0.00046,87.829094
4450,966.394,56.03611,47.453674,0.441467,0.020471,7.382272,7.382272,7.382272,7.382272,29.096626,36.471428,0.009103,0.000345,144.516266
4475,971.771,58.451061,50.082008,0.477389,0.02049,7.155614,7.155614,7.155614,7.155614,29.050743,36.548241,0.013099,0.000417,196.711624
4500,977.233,61.809147,53.318481,0.474573,0.020523,7.268701,7.268701,7.268701,7.268701,29.324806,36.366707,0.012521,0.00051,98.40403
4525,982.608,61.690712,53.083916,0.468678,0.02051,7.379642,7.379642,7.379642,7.379642,29.219456,36.49263,0.013483,0.000464,107.753822
4550,987.978,59.178196,50.907944,0.454303,0.020487,7.086784,7.086784,7.086784,7.086784,29.074207,36.338707,0.011495,0.000396,116.058968
4575,993.345,55.591457,47.180912,0.467252,0.020479,7.202556,7.202556,7.202556,7.202556,29.097961,36.444862,0.009184,0.000365,132.361359
4600,998.711,58.896671,50.224846,0.463302,0.020484,7.443673,7.443673,7.443673,7.443673,29.077717,36.343266,0.012997,0.000392,136.505051
4625,1004.167,57.593834,49.134712,0.449036,0.020494,7.263266,7.263266,7.263266,7.263266,28.824406,36.410545,0.009724,0.00041,129.820938
4650,1009.535,58.525627,49.998539,0.458741,0.020497,7.316228,7.316228,7.316228,7.316228,28.797546,36.286995,0.012593,0.000438,129.0979
